,GPD1_real_flux,GPD1_sim_flux
r_0534,16.4,16.4
r_0962,-28.26898784,-26.82104970338932
r_0961,24.88500397,0.8659746550877351
r_0718,0.0,0.0
r_2131,0.809431311,0.37828539941540285
r_0713,0.009015943,29.80166805266632
r_0300,-0.809431311,-0.5115384558226239
r_1022,-0.439777656,-0.0
r_0454,0.009015943,-0.0
r_0366,28.18684259,27.086459231999292
r_1054,-14.97848635,-14.051045132918887
r_0486,28.18684259,28.349559046421906
r_0450,14.97848635,14.055660376431772
r_0452,-0.209370228,-0.18858336142766774
r_0302,0.809431311,0.5115384558226229
r_0892,-28.18684259,-28.349559046421906
r_0893,-28.18684259,-27.086459231999292
r_0889,1.639899823,1.104969164586908
r_1049,-0.538953027,-0.36129868992612985
r_1048,0.538953027,0.36129868992612985
r_1050,0.438775884,0.22859392562114372
r_0466,1.639899823,1.104969164586908
r_0467,14.00175921,13.871630395276107
r_0886,14.97848635,14.055660376431772
r_0959,24.88597192,24.093036909583635
r_2115,23.97020537,0.0
r_2116,0.915766551,0.0
r_0112,0.515045924,0.12088195577804615
r_2034,1.673832061,0.0
r_1239,0.937105837,0.0
r_4041,0.34,0.5020989947218545
