,GPD1_real_flux,GPD1_sim_flux
r_0534,16.4,16.7
r_0962,-28.26898784,-26.691930353000473
r_0961,24.88500397,0.8727404419235996
r_0718,0.0,0.0
r_2131,0.809431311,0.3877980518365426
r_0713,0.009015943,0.5213663176901502
r_0300,-0.809431311,-0.5213663176901502
r_1022,-0.439777656,-0.0
r_0454,0.009015943,-0.0
r_0366,28.18684259,26.977723136017445
r_1054,-14.97848635,-14.187348460795187
r_0486,28.18684259,28.542995409191864
r_0450,14.97848635,13.893046457966756
r_0452,-0.209370228,-0.15582976256708778
r_0302,0.809431311,0.3877980518365426
r_0892,-28.18684259,-28.542995409191864
r_0893,-28.18684259,-26.977723136017445
r_0889,1.639899823,0.9169945317497226
r_1049,-0.538953027,-0.2908704493234293
r_1048,0.538953027,-0.008401244287229548
r_1050,0.438775884,0.1479740578149429
r_0466,1.639899823,0.9169945317497226
r_0467,14.00175921,14.137167162583282
r_0886,14.97848635,13.893046457966756
r_0959,24.88597192,23.66148541482094
r_2115,23.97020537,23.655222413348003
r_2116,0.915766551,0.0
r_0112,0.515045924,0.20522407282166744
r_2034,1.673832061,1.3916689083352525
r_1239,0.937105837,0.0
r_4041,0.34,0.47473925206074086
