,ICL1_real_flux,ICL1_sim_flux
r_0534,15.7,15.7
r_0962,-27.14446029,-25.625614342976053
r_0961,24.46044733,0.8331494660946508
r_0718,0.06208752,0.0
r_2131,0.517056726,0.3639463080156934
r_0713,0.063105348,0.49214834273911157
r_0300,-0.517056726,-0.49214834273911157
r_1022,-0.125192869,-0.0
r_0454,0.125192869,-0.0
r_0366,27.12512156,25.880963394774145
r_1054,-14.40735818,-13.444497479386724
r_0486,27.12512156,27.12266924147724
r_0450,14.40735818,13.105748365692625
r_0452,-0.212726094,-0.1814350177164159
r_0302,0.517056726,0.4921483427391115
r_0892,-27.12512156,-27.12266924147724
r_0893,-27.12512156,-25.880963394774145
r_0889,1.22750081,1.0498425514313952
r_1049,-0.401024311,-0.34318941416486526
r_1048,0.401024311,0.0
r_1050,0.287027553,0.21551488826582016
r_0466,1.22750081,1.0498425514313952
r_0467,13.71930632,13.280711691961708
r_0886,14.40735818,13.105748365692625
r_0959,24.46022683,23.001008196242676
r_2115,22.88249949,22.912388050862376
r_2116,1.577727334,0.0
r_0112,0.559917918,0.11629986665920702
r_2034,1.3733957,0.0
r_1239,0.669508992,0.0
r_4041,0.386,0.48306668898617144
