,ICL1_real_flux,ICL1_sim_flux
r_0534,15.7,16.330881034634974
r_0962,-27.14446029,-25.947714650815612
r_0961,24.46044733,0.8174591579272762
r_0718,0.06208752,0.08074525146944382
r_2131,0.517056726,0.3666606449186141
r_0713,0.063105348,0.5101474369550132
r_0300,-0.517056726,-0.5101474369550132
r_1022,-0.125192869,-0.0
r_0454,0.125192869,-0.0
r_0366,27.12512156,26.174200353109118
r_1054,-14.40735818,-13.87486516027353
r_0486,27.12512156,27.771487568031535
r_0450,14.40735818,13.893046457966756
r_0452,-0.212726094,-0.24313398539561898
r_0302,0.517056726,0.3666606449186141
r_0892,-27.12512156,-27.771487568031535
r_0893,-27.12512156,-26.174200353109118
r_0889,1.22750081,0.38389454807881074
r_1049,-0.401024311,-0.11860849201170469
r_1048,0.401024311,0.1325665409082121
r_1050,0.287027553,0.005365640864951426
r_0466,1.22750081,0.38389454807881074
r_0467,13.71930632,14.101454832488983
r_0886,14.40735818,13.893046457966756
r_0959,24.46022683,23.335602427500454
r_2115,22.88249949,23.274617365961845
r_2116,1.577727334,0.0
r_0112,0.559917918,0.1301656000795307
r_2034,1.3733957,1.1938281741178989
r_1239,0.669508992,0.0
r_4041,0.386,0.4284633036199519
