,ICL1_real_flux,ICL1_sim_flux
r_0534,15.7,15.7
r_0962,-27.14446029,-25.62602316462012
r_0961,24.46044733,0.833141125953532
r_0718,0.06208752,0.0
r_2131,0.517056726,0.36394266477557513
r_0713,0.063105348,0.4921434161481665
r_0300,-0.517056726,-0.4921434161481665
r_1022,-0.125192869,-0.0
r_0454,0.125192869,-0.0
r_0366,27.12512156,25.881369660277674
r_1054,-14.40735818,-13.443779582246448
r_0486,27.12512156,27.121971583601933
r_0450,14.40735818,13.10429338398588
r_0452,-0.212726094,-0.18143320148321695
r_0302,0.517056726,0.36394266477557513
r_0892,-27.12512156,-27.121971583601933
r_0893,-27.12512156,-25.881369660277674
r_0889,1.22750081,1.0520534688300014
r_1049,-0.401024311,-0.3439264542822469
r_1048,0.401024311,0.0
r_1050,0.287027553,0.21625320645346924
r_0466,1.22750081,1.0520534688300014
r_0467,13.71930632,13.278514483232781
r_0886,14.40735818,13.10429338398588
r_0959,24.46022683,23.00144329118641
r_2115,22.88249949,22.91282403292726
r_2116,1.577727334,0.0
r_0112,0.559917918,0.11629870245358112
r_2034,1.3733957,1.3142445233730133
r_1239,0.669508992,0.0
r_4041,0.386,0.4830618533060132
