,IDP1_real_flux,IDP1_sim_flux
r_0534,15.0,15.0
r_0962,-26.09305813,-23.5444881218041
r_0961,22.13040994,0.8687599698351116
r_0718,0.0,0.0
r_2131,0.854877875,0.0
r_0713,0.047136123,0.5131837644889727
r_0300,-0.854877875,-0.5131837644889727
r_1022,-0.454220826,-0.0
r_0454,0.047136123,-0.0
r_0366,25.6656192,23.810751311742134
r_1054,-13.55913441,-12.810856579539307
r_0486,25.6656192,25.702611288077485
r_0450,13.55913441,12.620392507433657
r_0452,-0.223896586,-0.1891899196156448
r_0302,0.854877875,0.0
r_0892,-25.6656192,-25.702611288077485
r_0893,-25.6656192,-23.810751311742134
r_0889,1.605842023,0.6064233543266199
r_1049,-0.527067562,-0.19509416005508273
r_1048,0.527067562,0.0
r_1050,0.411369804,0.061962565086064764
r_0466,1.605842023,0.6064233543266199
r_0467,12.62069704,12.965597990441942
r_0886,13.55913441,12.620392507433657
r_0959,22.13089261,20.80770096696951
r_2115,20.70360192,20.71529301622298
r_2116,1.42729069,0.0
r_0112,0.570244797,0.12127075964446674
r_2034,1.791208947,0.0
r_1239,0.89316289,0.0
r_4041,0.372,0.5037139423723722
