,IDP1_real_flux,IDP1_sim_flux
r_0534,15.0,15.417944692067287
r_0962,-26.09305813,-23.999664286113983
r_0961,22.13040994,0.7858375408716156
r_0718,0.0,0.0
r_2131,0.854877875,0.0
r_0713,0.047136123,0.3233922946664516
r_0300,-0.854877875,-0.5365558600716884
r_1022,-0.454220826,-0.0
r_0454,0.047136123,-0.0
r_0366,25.6656192,24.24227821115105
r_1054,-13.55913441,-12.852123246513665
r_0486,25.6656192,25.92556145705137
r_0450,13.55913441,13.300001289485346
r_0452,-0.223896586,-0.2767347885736553
r_0302,0.854877875,0.3930690680352893
r_0892,-25.6656192,-25.92556145705137
r_0893,-25.6656192,-24.24227821115105
r_0889,1.605842023,1.0000136294758393
r_1049,-0.527067562,-0.3250135552619059
r_1048,0.527067562,0.7683181029859438
r_1050,0.411369804,0.2037065927433731
r_0466,1.605842023,1.0000136294758393
r_0467,12.62069704,12.698839537214328
r_0886,13.55913441,13.893046457966756
r_0959,22.13089261,21.476405564462354
r_2115,20.70360192,23.655222413348003
r_2116,1.42729069,0.032894919725323386
r_0112,0.570244797,0.16307252754629004
r_2034,1.791208947,0.9576912508169666
r_1239,0.89316289,0.21316356540523684
r_4041,0.372,0.4589745082048157
