,IDP2_maximum,IDP2_minimum,IDP2_real_flux
r_0534,13.400309048981622,13.399787528800115,13.4
r_0962,-21.273044835784816,-21.27200019168919,-22.66328224
r_0961,0.7609551788529814,0.7601676547545457,19.89211215
r_0718,0.11788536294602636,0.0,0.0
r_2131,0.4495153215451637,0.33139624751860064,0.615147664
r_0713,1000.0,0.44871502058758106,0.033061682
r_0300,-0.44959518099916074,-0.44917962426443536,-0.615147664
r_1022,-0.0004249423914770567,-0.0,-0.233435514
r_0454,-7.857577810180906,-0.0,0.033061682
r_0366,21.506152667755913,21.5051080237624,22.80454579
r_1054,-11.369038034596693,-11.368096623757973,-12.22781308
r_0486,22.92331354886126,22.922372138029747,22.80454579
r_0450,11.373255018737819,-0.0004249423892179749,12.22781308
r_0452,-0.16594400478948046,-0.16482664818261128,-0.209390654
r_0302,1000.0,-999.5507183895442,0.615147664
r_0892,-22.923313548880515,-22.922372138157126,-22.80454579
r_0893,-21.50615266786139,-21.505108023703357,-22.80454579
r_0889,0.8769737454318149,0.8741495128240748,0.842571963
r_1049,-0.28615511801143056,-0.28521370709462524,-0.27351028
r_1048,0.28615511801143056,-11.087877872294262,0.27351028
r_1050,0.16960120198919143,0.16865979107234447,0.168314019
r_0466,0.8769737451541655,0.8741495128149523,0.842571963
r_0467,11.275685157918282,11.272860925406318,11.78699065
r_0886,11.373255018785429,0.0,12.22781308
r_0959,18.877043542561076,18.875292264847417,19.89192132
r_2115,1000.0,0.0,18.7582347
r_2116,0.0006651272455409663,0.0,1.133686622
r_0112,0.10673659359181897,0.10558162199063517,0.53258435
r_2034,1.199784304932031,0.0,1.504686999
r_1239,0.0005665898685784931,0.0,0.612452272
r_4041,0.4409909800313113,0.4409909800313113,0.356
