,IDP2_real_flux,IDP2_sim_flux
r_0534,13.4,13.4
r_0962,-22.66328224,-21.272765475058172
r_0961,19.89211215,0.7605811042949382
r_0718,0.0,0.11703547695932623
r_2131,0.615147664,0.4492816057988236
r_0713,0.033061682,0.4492816057988236
r_0300,-0.615147664,-0.4492816057988236
r_1022,-0.233435514,-0.0
r_0454,0.033061682,-0.0
r_0366,22.80454579,21.50587330468642
r_1054,-12.22781308,-11.368095943881421
r_0486,22.80454579,22.922371477307575
r_0450,12.22781308,11.085993672704516
r_0452,-0.209390654,-0.1656318004730596
r_0302,0.615147664,0.4492816057988236
r_0892,-22.80454579,-22.922371477307575
r_0893,-22.80454579,-21.50587330468642
r_0889,0.842571963,0.8769758389890905
r_1049,-0.27351028,-0.2861558159163468
r_1048,0.27351028,0.0
r_1050,0.168314019,0.1696019011022233
r_0466,0.842571963,0.8769758389890905
r_0467,11.78699065,11.272858844678868
r_0886,12.22781308,11.085993672704516
r_0959,19.89192132,18.87676581034138
r_2115,18.7582347,18.795864590597372
r_2116,1.133686622,0.0
r_0112,0.53258435,0.1061700026378756
r_2034,1.504686999,1.1997874669568689
r_1239,0.612452272,0.0
r_4041,0.356,0.44099097546017213
