,LSC1_real_flux,LSC1_sim_flux
r_0534,17.8,17.8
r_0962,-31.06065037,-28.52976215508876
r_0961,27.13509385,0.9873911737472798
r_0718,0.0,0.0
r_2131,0.780838062,0.4313240143297189
r_0713,0.002913575,0.5832602066863082
r_0300,-0.780838062,-0.5832602066863082
r_1022,-0.37196639,-0.0
r_0454,0.002913575,-0.0
r_0366,30.42160629,28.83238420578996
r_1054,-16.34127019,-15.171506906269897
r_0486,30.42160629,30.575375793922753
r_0450,16.34127019,14.814617496226221
r_0452,-0.202979048,-0.21502424521919772
r_0302,0.780838062,0.4313240143297189
r_0892,-30.42160629,-30.575375793922753
r_0893,-30.42160629,-28.83238420578996
r_0889,1.628688346,1.1104829518931703
r_1049,-0.534155391,-0.3621517473217293
r_1048,0.534155391,0.0
r_1050,0.415670013,0.21084072197112969
r_0466,1.628688346,1.1104829518931703
r_0467,15.39047359,15.066544570746194
r_0886,16.34127019,14.814617496226221
r_0959,27.13472592,25.419260319211695
r_2115,25.29636408,25.314233846861093
r_2116,1.838361843,0.0
r_0112,0.770065103,0.13783056524727055
r_2034,1.548743271,1.5575673821147042
r_1239,0.788324055,0.0
r_4041,0.423,0.572497258231555
