,MAE1_real_flux,MAE1_sim_flux
r_0534,12.5,12.5
r_0962,-20.82975148,-18.359204246153688
r_0961,16.87636761,0.8068579633915918
r_0718,0.0,0.0
r_2131,1.239645202,0.4277770462873893
r_0713,0.469873398,0.47661773267452623
r_0300,-1.239645202,-0.47661773267452623
r_1022,-0.841083151,-0.0
r_0454,0.469873398,-0.0
r_0366,20.73011097,18.757126721152936
r_1054,-11.15387621,-10.404547983170245
r_0486,20.73011097,20.871206399023787
r_0450,11.15387621,0.0
r_0452,-0.204165364,-0.17570951532707157
r_0302,1.239645202,0.47661773267452623
r_0892,-20.73011097,-20.871206399023787
r_0893,-20.73011097,-18.757126721152936
r_0889,1.351008128,0.6747747930977221
r_1049,-0.441544233,-0.24348532750502194
r_1048,0.441544233,-10.165362834613283
r_1050,0.326273836,0.04452409000539845
r_0466,1.351008128,0.6747747930977221
r_0467,10.38605814,10.49899472951807
r_0886,11.15387621,0.0
r_0959,16.87700748,15.817422181304147
r_2115,15.72084501,12.488249831577443
r_2116,1.15616247,0.0
r_0112,0.570021808,0.11262981898700716
r_2034,2.172602845,0.0
r_1239,1.708313362,0.0
r_4041,0.411,0.4678226665435141
