,MAE1_maximum,MAE1_minimum,MAE1_real_flux
r_0534,12.50033098991706,12.499772444450368,12.5
r_0962,-18.359907147359888,-18.358786654194205,-20.82975148
r_0961,0.8072517866231625,0.8064070840187335,16.87636761
r_0718,0.0,0.0,0.0
r_2131,0.4279701661419296,0.42686254634628895,1.239645202
r_0713,1000.0,0.47650373981946936,0.469873398
r_0300,-0.4769498543506688,-0.47650373982297545,-1.239645202
r_1022,-0.0004551111204274239,-0.0,-0.841083151
r_0454,-10.270138625894916,-0.0,0.469873398
r_0366,18.75782564310135,18.756705149880872,20.73011097
r_1054,-10.404854783826549,-10.404293374051962,-11.15387621
r_0486,20.871533533066177,20.870798353624046,20.73011097
r_0450,10.409329962524453,-0.000455111142622755,11.15387621
r_0452,-0.1760421255791016,-0.1748454423457133,-0.204165364
r_0302,1000.0,-999.5233870335028,1.239645202
r_0892,-20.871533533096528,-20.870798353629294,-20.73011097
r_0893,-18.757825642842544,-18.756705149863205,-20.73011097
r_0889,0.6755309024950061,0.6739105068709592,1.351008128
r_1049,-0.2437371783378868,-0.243197046493151,-0.441544233
r_1048,0.2439322260220189,-10.16595787330234,0.441544233
r_1050,0.04477793045072678,0.044237798605763046,0.326273836
r_0466,0.6755309025579068,0.6739105068913964,1.351008128
r_0467,10.499872277978639,10.498251882438918,10.38605814
r_0886,10.409329962528433,0.0,11.15387621
r_0959,15.818147098023928,15.816383270521726,16.87700748
r_2115,1000.0,0.0,15.72084501
r_2116,0.0007123479411201561,0.0,1.15616247
r_0112,0.1132355074895518,0.11199853871898911,0.570021808
r_2034,1.4224839750037317,0.0,2.172602845
r_1239,7.620465116708885e-05,0.0,1.708313362
r_4041,0.46781798831676413,0.46781798831676413,0.411
