,MAE1_real_flux,MAE1_sim_flux
r_0534,12.5,12.5
r_0962,-20.82975148,-18.359514320932718
r_0961,16.87636761,0.8068536373558735
r_0718,0.0,0.0
r_2131,1.239645202,0.42777276851692814
r_0713,0.469873398,0.47661670904111375
r_0300,-1.239645202,-0.47661670904111375
r_1022,-0.841083151,-0.0
r_0454,0.469873398,-0.0
r_0366,20.73011097,18.75743281670722
r_1054,-11.15387621,-10.40452095283489
r_0486,20.73011097,20.871199702104274
r_0450,11.15387621,10.165290211273886
r_0452,-0.204165364,-0.17570775823189733
r_0302,1.239645202,0.42777276851692814
r_0892,-20.73011097,-20.871199702104274
r_0893,-20.73011097,-18.75743281670722
r_0889,1.351008128,0.6749119999163614
r_1049,-0.441544233,-0.2435308775072746
r_1048,0.441544233,0.0
r_1050,0.326273836,0.044571629620024644
r_0466,1.351008128,0.6749119999163614
r_0467,10.38605814,10.4988707850042
r_0886,11.15387621,10.165290211273886
r_0959,16.87700748,15.816793689048481
r_2115,15.72084501,15.730970967090219
r_2116,1.15616247,0.0
r_0112,0.570021808,0.1126286926888177
r_2034,2.172602845,1.421893946596037
r_1239,1.708313362,0.0
r_4041,0.411,0.4678179883168505
