,MDH1_real_flux,MDH1_sim_flux
r_0534,10.0,10.0
r_0962,-16.87885419,-15.33417877690441
r_0961,14.44997016,0.6070674824798693
r_0718,0.0,0.09341335454867905
r_2131,0.615675353,0.0
r_0713,0.0,0.0
r_0300,-0.615675353,-0.3585998282321777
r_1022,-0.328227571,-0.0
r_0454,0.0,-0.0
r_0366,17.04495723,15.520236756099077
r_1054,-9.12174259,-8.501256551806732
r_0486,17.04495723,17.028068092420583
r_0450,9.12174259,8.504491940098916
r_0452,-0.207877462,-0.13220112827412928
r_0302,0.615675353,0.0
r_0892,-17.04495723,-17.028068092420583
r_0893,-17.04495723,-15.520236756099077
r_0889,0.701213447,0.3308295644332997
r_1049,-0.227770042,-0.10535228551687004
r_1048,0.227770042,0.10535228551687004
r_1050,0.144221205,0.012323295919535432
r_0466,0.701213447,0.3308295644332997
r_0467,8.749751343,8.671335087063166
r_0886,9.12174259,8.504491940098916
r_0959,14.44923658,13.421781168985145
r_2115,13.34298111,13.357208831436642
r_2116,1.106255472,0.0
r_0112,0.410049698,0.08474093801739105
r_2034,1.286958042,0.5965812181662717
r_1239,0.751534857,0.3585998282321777
r_4041,0.29,0.3519825561760674
