,MDH3_real_flux,MDH3_sim_flux
r_0534,14.4,14.938150977339351
r_0962,-24.35051771,-22.99248196350369
r_0961,20.60043597,0.9291365007455358
r_0718,0.150081744,0.0
r_2131,1.228119891,0.4028777587726961
r_0713,0.19226158,0.5474798649779805
r_0300,-1.228119891,-0.5474798649779805
r_1022,-0.833787466,-0.0
r_0454,0.343324251,-0.0
r_0366,24.5800545,23.193549462446764
r_1054,-13.00021798,-12.32974599789712
r_0486,24.5800545,24.876832708347084
r_0450,13.00021798,12.749171923652908
r_0452,-0.205013624,-0.2619689436321956
r_0302,1.228119891,0.40399307294158143
r_0892,-24.5800545,-24.876832708347084
r_0893,-24.5800545,-23.193549462446764
r_0889,1.540054496,1.0126870447675385
r_1049,-0.505177112,-0.3358082697568827
r_1048,0.505177112,0.7506189362209361
r_1050,0.390408719,0.19737071425679112
r_0466,1.540054496,1.0126870447675385
r_0467,12.10463215,12.15295943273144
r_0886,13.00021798,13.893046457966756
r_0959,20.60010632,20.14077128449776
r_2115,19.3487862,20.061718812478922
r_2116,1.251320122,0.0
r_0112,0.564675372,0.1301656000795307
r_2034,2.001353149,1.459801257500231
r_1239,1.14458781,0.0
r_4041,0.405,0.43541342639988123
