,OAC1_real_flux,OAC1_sim_flux
r_0534,11.7,13.009417279117084
r_0962,-20.06035069,-19.243867523366145
r_0961,17.54642764,0.6694979480373077
r_0718,0.0,0.18461376171011487
r_2131,0.650170113,0.314334779292655
r_0713,0.058178487,0.4578215713290541
r_0300,-0.701203873,-0.4578215713290541
r_1022,-0.3541743,-2.052177144272054e-06
r_0454,0.058178487,-0.0
r_0366,19.9695106,19.39406270157534
r_1054,-10.61604292,-10.393020430808935
r_0486,19.9695106,20.880728699973105
r_0450,10.61604292,13.893046457966756
r_0452,-0.21332112,-0.29467547540535044
r_0302,0.0,0.314334779292655
r_0892,0.650170113,-20.880728699973105
r_0893,-19.9695106,-19.39406270157534
r_0889,-19.9695106,0.5103451941419928
r_1049,1.246244439,-0.15845286500303013
r_1048,-0.409290762,3.6552158398462065
r_1050,0.409290762,0.08335527589843189
r_0466,1.246244439,0.5103451941419928
r_0467,9.88217744,10.384152893816287
r_0886,10.61604292,13.893046457966756
r_0959,17.54741041,17.050354499382628
r_2115,16.19469244,17.03850950213095
r_2116,1.352717976,0.0
r_0112,0.740287271,0.1301656000795307
r_2034,1.076760674,0.8373467227353408
r_1239,1.056488168,0.0
r_4041,0.29,0.28413768106166587
