,PCK1_real_flux,PCK1_sim_flux
r_0534,13.4,14.531154986193771
r_0962,-23.16295957,-22.416368104739266
r_0961,20.49176794,0.705300676642468
r_0718,0.0,0.15948017744540866
r_2131,0.709791332,0.3269963304418035
r_0713,0.0,0.47048312247820256
r_0300,-0.709791332,-0.47048312247820256
r_1022,-0.409691967,-1.772796530424167e-06
r_0454,0.0,-0.0
r_0366,23.33605442,22.585023357008463
r_1054,-12.4105939,-12.053773327876744
r_0486,23.33605442,24.098456117686244
r_0450,12.4105939,13.893046457966756
r_0452,-0.214064053,-0.28220372167040675
r_0302,0.0,0.3269963304418035
r_0892,0.709791332,-24.098456117686244
r_0893,-23.33605442,-22.585023357008463
r_0889,-23.33605442,0.22135391498363113
r_1049,0.936146144,-0.06268038498447548
r_1048,-0.306244745,1.8984581233129216
r_1050,0.306244745,-0.021647241150122325
r_0466,0.936146144,0.22135391498363113
r_0467,11.88516395,12.274142160199982
r_0886,12.4105939,13.893046457966756
r_0959,20.49186441,20.12156498856257
r_2115,19.34656322,20.0978297555183
r_2116,1.145301192,0.0
r_0112,0.428345233,0.1301656000795307
r_2034,1.412618456,0.9236061379035043
r_1239,0.953822169,0.0
r_4041,0.4,0.31906025779265174
