,PCK1_real_flux,PCK1_sim_flux
r_0534,13.4,13.4
r_0962,-23.16295957,-21.740080440050143
r_0961,20.49176794,0.7218587529402929
r_0718,0.0,0.0
r_2131,0.709791332,0.3153309684910526
r_0713,0.0,0.4264079896930798
r_0300,-0.709791332,-0.4264079896930798
r_1022,-0.409691967,-0.0
r_0454,0.0,-0.0
r_0366,23.33605442,21.96132039229962
r_1054,-12.4105939,-11.456576329779029
r_0486,23.33605442,23.104820528604506
r_0450,12.4105939,11.17386935004382
r_0452,-0.214064053,-0.15719923130039415
r_0302,0.0,0.3153309684910526
r_0892,0.709791332,-23.104820528604506
r_0893,-23.33605442,-21.96132039229962
r_0889,-23.33605442,0.8772285575073142
r_1049,0.936146144,-0.28655415229061143
r_1048,-0.306244745,0.0
r_1050,0.306244745,0.17593417616587503
r_0466,0.936146144,0.8772285575073142
r_0467,11.88516395,11.336253961160814
r_0886,12.4105939,11.17386935004382
r_0959,20.49186441,19.46606479562899
r_2115,19.34656322,19.389282381148824
r_2116,1.145301192,0.0
r_0112,0.428345233,0.10076472485454262
r_2034,1.412618456,1.1387013353902302
r_1239,0.953822169,0.0
r_4041,0.4,0.4185394480693755
