,PDA1_real_flux,PDA1_sim_flux
r_0534,8.0,8.0
r_0962,-13.40648379,-10.144652575933456
r_0961,11.08181926,0.0
r_0718,0.021850137,0.0
r_2131,2.122313264,0.28455076742919355
r_0713,0.462652892,0.38478529808133466
r_0300,-2.122313264,-0.38478529808133466
r_1022,-1.963662273,-0.0
r_0454,0.769504809,-0.0
r_0366,13.49958437,10.34429677358343
r_1054,-7.543047144,-6.510145242104297
r_0486,13.49958437,12.929382464639048
r_0450,7.543047144,6.513616883054473
r_0452,-0.198551241,-0.14185464282127214
r_0302,0.0,0.3847852980813655
r_0892,2.122313264,-12.929382464639016
r_0893,-13.49958437,-10.34429677358343
r_0889,-13.49958437,0.0
r_1049,0.306851918,0.0052838106793667156
r_1048,-0.098800618,-0.0052838106793667156
r_1050,0.098800618,-0.10510590950435379
r_0466,0.306851918,0.0
r_0467,7.3919962,6.929301294139402
r_0886,7.543047144,6.513616883054473
r_0959,11.08259006,8.744005386870821
r_2115,8.041365862,4.6161283919397516
r_2116,3.041224194,0.0
r_0112,2.376191152,0.7423252560061587
r_2034,0.322183273,0.43573800223676956
r_1239,2.042938794,0.0
r_4041,0.17,0.37768482340138887
