,PDA1_real_flux,PDA1_sim_flux
r_0534,8.0,8.0
r_0962,-13.40648379,-10.14468407940761
r_0961,11.08181926,0.0
r_0718,0.021850137,0.06080362704668646
r_2131,2.122313264,0.3453515489682022
r_0713,0.462652892,0.3847814502283511
r_0300,-2.122313264,-0.3847814502283511
r_1022,-1.963662273,-0.0
r_0454,0.769504809,-0.0
r_0366,13.49958437,10.344326280615604
r_1054,-7.543047144,-6.510160140651856
r_0486,13.49958437,12.92941317081431
r_0450,7.543047144,6.513631746885622
r_0452,-0.198551241,-0.14185322427488056
r_0302,0.0,0.3847814502283511
r_0892,2.122313264,-12.92941317081431
r_0893,-13.49958437,-10.344326280615604
r_0889,-13.49958437,0.0
r_1049,0.306851918,0.005283757841276326
r_1048,-0.098800618,-0.005283757841276326
r_1050,0.098800618,-0.10510485844527295
r_0466,0.306851918,0.0
r_0467,7.3919962,6.929312001126469
r_0886,7.543047144,6.513631746885622
r_0959,11.08259006,8.744050896816871
r_2115,8.041365862,8.023374188030798
r_2116,3.041224194,0.0014514999982006005
r_0112,2.376191152,0.7423178327535676
r_2034,0.322183273,0.43573364485674243
r_1239,2.042938794,0.0
r_4041,0.17,0.377681046553152
