,ADH3_real_flux,ADH3_sim_flux,ALD5_real_flux,ALD5_sim_flux,ALD6_real_flux,ALD6_sim_flux,COX5A_real_flux,COX5A_sim_flux,CTP1_real_flux,CTP1_sim_flux,DAL7_real_flux,DAL7_sim_flux,FUM1_real_flux,FUM1_sim_flux,GND2_real_flux,GCV2_sim_flux,GCV2_real_flux,GLY1_sim_flux,GLY1_real_flux,GND2_sim_flux,GPD1_real_flux,GPD1_sim_flux,ICL1_real_flux,ICL1_sim_flux,IDP1_real_flux,IDP1_sim_flux,IDP2_real_flux,IDP2_sim_flux,LSC1_real_flux,LSC1_sim_flux,MAE1_real_flux,MAE1_sim_flux,MDH1_real_flux,MDH1_sim_flux,MDH3_real_flux,MDH3_sim_flux,OAC1_real_flux,OAC1_sim_flux,PCK1_real_flux,PCK1_sim_flux,PDA1_real_flux,PDA1_sim_flux,PGM1_real_flux,PGM1_sim_flux,PGM2_real_flux,PGM2_sim_flux,RPE1_real_flux,RPE1_sim_flux,SDH1_real_flux,SDH1_sim_flux,SER33_real_flux,SER33_sim_flux,SFC1_real_flux,SFC1_sim_flux,SOL3_real_flux,SOL3_sim_flux,SOL4_real_flux,SOL4_sim_flux,TAL1_real_flux,TAL1_sim_flux,ZWF1_real_flux,ZWF1_sim_flux
r_0534,14.4,14.4,16.2,16.2,4.7,4.7,13.3,13.3,13.9,13.9,14.3,14.3,9.1,9.1,15.5,16.0,16.0,13.1,13.1,15.5,16.4,16.4,15.7,15.7,15.0,15.0,13.4,13.4,17.8,17.8,12.5,12.5,10.0,10.0,14.4,14.4,11.7,11.7,13.4,13.4,8.0,8.0,14.7,14.7,16.1,16.1,4.6,4.6,13.4,13.4,14.5,14.5,12.9,12.9,12.2,12.2,15.9,15.9,12.2,12.2,6.5,6.5
r_0962,-24.5210728,-22.771424835902252,-27.82518835,-25.355391696308594,-7.92152646,-7.545939022351056,-21.35787365,-21.05456285975707,-23.33285509,-21.38963138470444,-24.67282388,-22.975899291455743,-14.93827133,-13.722801360528562,-27.55341866,-26.981357309618215,-27.51864533,-21.13516519191638,-22.86753505,-25.40420098220585,-28.26898784,-26.821474553615655,-27.14446029,-25.62602316462012,-26.09305813,-23.544915136923766,-22.66328224,-21.272765475058172,-31.06065037,-28.52976215508876,-20.82975148,-18.359514320932718,-16.87885419,-15.334478227412443,-24.35051771,-22.20113871541026,-20.06035069,-18.424556428340495,-23.16295957,-21.740080440050143,-13.40648379,-10.14468407940761,-24.43659766,-22.33945615650834,-28.16198383,-25.050064887639046,-7.703642894,-5.306820284784266,-23.16295957,-21.74008040731192,-24.28635968,-23.44830171849795,-22.16605619,-20.399622644744177,-21.93422092,-18.464990210716213,-27.46907074,-25.718234819690984,-21.80317018,-18.732851857188564,-11.19372211,-7.525780917027598
r_0961,21.21583653,0.8240225627912046,23.65924159,0.9484706829516192,6.899873498,0.25971750942901434,19.13027735,0.759227992309791,20.04127464,0.8420024462490138,21.66345522,0.78867193816714,12.84216975,0.5716929552386556,24.21818063,1.5460198521403496,24.2146548,0.7153554313469752,19.91448931,0.8139792067095462,24.88500397,0.865966004328294,24.46044733,0.833141125953532,22.13040994,0.8687512822354071,19.89211215,0.7605811042949382,27.13509385,0.9873911737472798,16.87636761,0.8068536373558735,14.44997016,0.6070614180745599,20.60043597,0.8706197484079807,17.54642764,0.6758283690436839,20.49176794,0.7218587529402929,11.08181926,0.0,20.59641787,0.9152480565468386,23.43611318,0.9547751262741485,4.526834274,0.4251608503818618,20.49176794,0.72185876043182,21.69322669,0.7873593411346738,19.0396632,0.7375428667297725,17.1263185,0.7657412578199043,24.31577166,0.8628933250471325,17.58916565,0.7438547046423536,6.330973996,0.5974066139701572
r_0718,0.114431673,0.0,0.830951783,0.0,0.013873076,0.0,0.229522342,0.0,0.003148833,0.0,0.045990352,0.0,0.0,0.0,0.039476262,0.0,0.802838822,0.0,0.084315378,0.0,0.0,0.0,0.06208752,0.0,0.0,0.0,0.0,0.11703547695932623,0.0,0.0,0.0,0.0,0.0,0.09341242137986039,0.150081744,0.0,0.0,0.0,0.0,0.0,0.021850137,0.06080362704668646,0.319347589,0.0,0.472587065,0.0,0.330425859,0.0,0.0,0.0,0.0,0.0,0.108117337,0.0,0.599415908,0.0,0.0,0.0,0.126441387,0.0,1.060163102,0.0
r_2131,0.900127714,0.3599593850251841,1.759542943,0.41432230034238365,0.267552182,0.11345290674768677,0.716232666,0.33165504628904013,0.901615948,0.23878238733604518,0.726847515,0.34451710264782787,0.609166852,0.24973109810223443,0.711584928,0.37395176528910556,1.484156135,0.31249010982157766,0.797984829,0.35557212617817135,0.809431311,0.378281620487267,0.517056726,0.36394266477557513,0.854877875,0.0,0.615147664,0.4492816057988236,0.780838062,0.4313240143297189,1.239645202,0.42777276851692814,0.615675353,0.0,1.228119891,0.38031452460012083,0.650170113,0.2952234260182188,0.709791332,0.3153309684910526,2.122313264,0.3453515489682022,1.460589758,0.3998095955821116,1.646044776,0.41707628262852736,1.607285788,0.1857229829383592,0.709791332,0.31533097176359004,0.57937889,0.3439437183232631,0.971053857,0.27488605618502987,1.687167153,0.3345002487791084,0.76715333,0.37693937599740224,0.933966208,0.3249395030206123,3.730573934,0.26096508715227784
r_0713,0.099106003,0.4867570047884519,0.224773983,0.5602695479591672,0.03963736,0.15341730031343354,0.038936826,0.4484823112566808,0.073472778,0.4973778719995644,0.055988254,0.4658750958014882,0.0,0.33770379976978565,0.066805982,1.1956440707795775,0.30978024,0.42256642335391126,0.054202743,0.4808243105333642,0.009015943,0.5115333457468298,0.063105348,0.4921434161481665,0.047136123,0.513178632651333,0.033061682,0.4492816057988236,0.002913575,0.5832602066863082,0.469873398,0.47661670904111375,0.0,0.0,0.19226158,0.514282351212892,0.058178487,0.39921745777501805,0.0,0.4264079896930798,0.462652892,0.3847814502283511,0.341371561,0.5406446652797079,0.44755597,0.5639936352440443,0.598306824,0.2511468696927347,0.0,0.4264079941183859,0.0,0.46509973378002467,0.113122769,0.4356727266015796,0.512437725,0.45232975155049426,0.046826242,0.5097182884521438,0.103065668,0.4394011819324976,2.351361748,0.3528942067398234
r_0300,-0.900127714,-0.4867570047884519,-1.759542943,-0.5602695479591672,-0.267552182,-0.15341730031343354,-0.716232666,-0.4484823112566808,-0.901615948,-0.4973778719995644,-0.726847515,-0.4658750958014882,-0.609166852,-0.33770379976978565,-0.711584928,-1.1956440707795775,-1.484156135,-0.42256642335391126,-0.797984829,-0.4808243105333642,-0.809431311,-0.5115333457468298,-0.517056726,-0.4921434161481665,-0.854877875,-0.513178632651333,-0.615147664,-0.4492816057988236,-0.780838062,-0.5832602066863082,-1.239645202,-0.47661670904111375,-0.615675353,-0.3585962459373404,-1.228119891,-0.514282351212892,-0.701203873,-0.39921745777501805,-0.709791332,-0.4264079896930798,-2.122313264,-0.3847814502283511,-1.460589758,-0.5406446652797079,-1.646044776,-0.5639936352440443,-1.607285788,-0.2511468696927347,-0.709791332,-0.4264079941183859,-0.57937889,-0.46509973378002467,-0.971053857,-0.4356727266015796,-1.687167153,-0.45232975155049426,-0.76715333,-0.5097182884521438,-0.933966208,-0.4394011819324976,-3.800584705,-0.3528942067398234
r_1022,-0.520051086,-0.0,-1.340507283,-0.0,-0.131794223,-0.0,-0.452896764,-0.0,-0.516408669,-0.0,-0.381919877,-0.0,-0.39631321,-0.0,-0.370469536,-0.689961824120843,-1.112619062,-0.0,-0.479794652,-0.0,-0.439777656,-0.0,-0.125192869,-0.0,-0.454220826,-0.0,-0.233435514,-0.0,-0.37196639,-0.0,-0.841083151,-0.0,-0.328227571,-0.0,-0.833787466,-0.0,-0.3541743,-0.0,-0.409691967,-0.0,-1.963662273,-0.0,-1.071165895,-0.0,-1.210503731,-0.0,-1.413750641,-0.0,-0.409691967,-0.0,-0.262030654,-0.0,-0.632686637,-0.0,-1.310960316,-0.0,-0.385569271,-0.0,-0.548266852,-0.0,-3.571549469,-0.0
r_0454,0.213537676,-0.0,1.055725766,-0.0,0.052519502,-0.0,0.268459168,-0.0,0.076621611,-0.0,0.101978606,-0.0,0.101358877,-0.0,0.107294456,-0.0,1.112619062,-0.0,0.138518121,-0.0,0.009015943,-0.0,0.125192869,-0.0,0.047136123,-0.0,0.033061682,-0.0,0.002913575,-0.0,0.469873398,-0.0,0.0,-0.0,0.343324251,-0.0,0.058178487,-0.0,0.0,-0.0,0.769504809,-0.0,0.680740943,-0.0,0.920143035,-0.0,0.941713699,-0.0,0.0,-0.0,0.0,-0.0,0.222241192,-0.0,1.111853633,-0.0,0.046826242,-0.0,0.229507055,-0.0,3.521541776,-0.0
r_0366,24.60076628,23.02397661518295,28.06725264,25.646085142570097,8.000801181,7.625538929050782,21.50952234,21.287255978848435,23.55852148,21.647693755276652,24.62683353,23.217616582033546,15.06091557,13.898017525191213,27.11310651,27.243726309060513,27.73379817,21.354411963986337,22.84545246,25.65367460857799,28.18684259,27.086881430884766,27.12512156,25.881369660277674,25.6656192,23.811175664229907,22.80454579,21.50587330468642,30.42160629,28.83238420578996,20.73011097,18.75743281670722,17.04495723,15.52053434794884,24.5800545,22.46797190234698,19.9695106,18.63168869000115,23.33605442,21.96132039229962,13.49958437,10.344326280615604,24.62280033,22.61996731676242,27.77750622,25.342690560577793,7.625756798,5.4371257351925655,23.33605442,21.96132036185744,24.32420855,23.689616715824332,22.36226913,20.625669565907895,21.10426044,18.699679557663202,27.57966038,25.982699962286002,21.05727225,18.960833271371442,11.26373288,7.708877121300312
