,PGM1_real_flux,PGM1_sim_flux
r_0534,14.7,14.7
r_0962,-24.43659766,-22.339007128089335
r_0961,20.59641787,0.9152571996202592
r_0718,0.319347589,0.0
r_2131,1.460589758,0.399813589568733
r_0713,0.341371561,0.5406500661694931
r_0300,-1.460589758,-0.5406500661694931
r_1022,-1.071165895,-0.0
r_0454,0.680740943,-0.0
r_0366,24.62280033,22.61952109057186
r_1054,-13.55575456,-12.365722513394845
r_0486,24.62280033,24.844641031081437
r_0450,13.55575456,12.37060041002652
r_0452,-0.209227731,-0.199315624610108
r_0302,0.0,0.399813589568733
r_0892,1.460589758,-24.84464103108138
r_0893,-24.62280033,-22.61952109057186
r_0889,-24.62280033,0.7227842553566745
r_1049,0.76683465,-0.23350396416706656
r_1048,-0.247269136,0.23350396416706656
r_1050,0.247269136,0.09324698292580536
r_0466,0.76683465,0.7227842553566745
r_0467,13.16833288,12.472809705593564
r_0886,13.55575456,12.37060041002652
r_0959,20.59646492,19.45574335643326
r_2115,19.35261561,15.852286253026946
r_2116,1.243849311,0.0
r_0112,0.543098568,0.12776133767890172
r_2034,2.050018089,0.0
r_1239,1.566519199,0.0
r_4041,0.37,0.5306734061341704
