,PGM2_real_flux,PGM2_sim_flux
r_0534,16.1,16.23931654753554
r_0962,-28.16198383,-25.7250674572363
r_0961,23.43611318,0.9316134280903529
r_0718,0.472587065,0.0
r_2131,1.646044776,0.4061807185681071
r_0713,0.44755597,0.5499567923227976
r_0300,-1.646044776,-0.5499567923227976
r_1022,-1.210503731,-0.0
r_0454,0.920143035,-0.0
r_0366,27.77750622,25.988925154514398
r_1054,-14.76734453,-13.728954003622874
r_0486,27.77750622,27.672208400414718
r_0450,14.76734453,13.592352236719687
r_0452,-0.20925995,-0.21831914535096342
r_0302,0.0,0.4064700002863984
r_0892,1.646044776,-27.672208400414718
r_0893,-27.77750622,-25.988925154514398
r_0889,-27.77750622,1.0256064655337875
r_1049,1.00625,-0.3358082697568827
r_1048,-0.326405473,0.19432922715414075
r_1050,0.326405473,0.1940683784650943
r_0466,1.00625,1.0256064655337875
r_0467,14.23468284,13.61891649575562
r_0886,14.76734453,13.893046457966756
r_0959,23.43691632,22.80976974562257
r_2115,21.9307518,23.655222413348003
r_2116,1.506164522,0.0
r_0112,0.605022064,0.1301656000795307
r_2034,2.193518792,1.4680573699810984
r_1239,3.215045295,0.0
r_4041,0.41,0.5134138906877106
