,RPE1_real_flux,RPE1_sim_flux
r_0534,4.6,7.310942495590645
r_0962,-7.703642894,-7.8336387752520205
r_0961,4.526834274,0.6864411385665093
r_0718,0.330425859,0.27786430750702656
r_2131,1.607285788,0.2856173853878076
r_0713,0.598306824,0.4291041774242067
r_0300,-1.607285788,-0.4291041774242067
r_1022,-1.413750641,-4.248709954887875e-06
r_0454,0.941713699,-0.0
r_0366,7.625756798,7.504697761581969
r_1054,-4.019394561,-4.4747627972429775
r_0486,7.625756798,8.956160080823675
r_0450,4.019394561,11.618370837266284
r_0452,-0.246639302,-0.35660680750381646
r_0302,0.0,0.2856173853878076
r_0892,1.607285788,-8.956160080823675
r_0893,-7.625756798,-7.504697761581969
r_0889,-7.625756798,0.09028563823815394
r_1049,0.414212417,-0.008806278356865023
r_1048,-0.134530528,7.152328292689904
r_1050,0.134530528,-0.008806278356865023
r_0466,0.414212417,0.09028563823815394
r_0467,3.797537199,4.482581307821979
r_0886,4.019394561,13.893046457966756
r_0959,4.526713355,5.823829428036498
r_2115,3.9261436,5.760032996320919
r_2116,0.600569756,0.0
r_0112,0.2465361,0.1301656000795307
r_2034,1.719458818,0.7010049563971482
r_1239,1.06240127,0.0
r_4041,0.1316,0.009571079734688182
