,SDH1_real_flux,SDH1_sim_flux
r_0534,13.4,13.4
r_0962,-23.16295957,-21.739726257313443
r_0961,20.49176794,0.7218659715999737
r_0718,0.0,0.0
r_2131,0.709791332,0.3153341218322585
r_0713,0.0,24.407437434084027
r_0300,-0.709791332,-0.4264122538156023
r_1022,-0.409691967,-0.0
r_0454,0.0,-0.0
r_0366,23.33605442,21.960968421984553
r_1054,-12.4105939,-11.457198361761286
r_0486,23.33605442,23.1054250428536
r_0450,12.4105939,11.461045572788798
r_0452,-0.214064053,-0.1572008033084984
r_0302,0.0,0.42641225381560277
r_0892,0.709791332,-23.1054250428536
r_0893,-23.33605442,-21.960968421984553
r_0889,-23.33605442,0.8753129306408101
r_1049,0.936146144,-0.2859155514475096
r_1048,-0.306244745,0.2859155514475096
r_1050,0.306244745,0.17529446911195443
r_0466,0.936146144,0.8753129306408101
r_0467,11.88516395,11.338157722733895
r_0886,12.4105939,11.461045572788798
r_0959,20.49186441,19.46568787250853
r_2115,19.34656322,0.0
r_2116,1.145301192,0.0
r_0112,0.428345233,0.10076573251186392
r_2034,1.412618456,0.0
r_1239,0.953822169,0.0
r_4041,0.293,0.4185436335056949
