,SER33_maximum,SER33_minimum,SER33_real_flux
r_0534,14.50031991918265,14.499780055567847,14.5
r_0962,-23.448593001532547,-23.447509954181854,-24.28635968
r_0961,0.7877478037611922,0.7869068758175704,21.69322669
r_0718,0.0011311426218720833,0.0,0.0
r_2131,0.3450748575904883,0.339984715053386,0.57937889
r_0713,1000.0,0.4638815751807803,0.0
r_0300,-0.46542537224896385,-0.46499415561477075,-0.57937889
r_1022,-0.0004398888981604898,-0.0,-0.262030654
r_0454,-7.473267593114217,-0.0,0.0
r_0366,23.689907996378402,23.688824949067218,24.32420855
r_1054,-12.388345598944687,-12.386761999012684,-13.32377351
r_0486,24.97763761975835,24.97605401971868,24.32420855
r_0450,12.392541859213312,-0.00043988896104718567,13.32377351
r_0452,-0.1717864808094398,-0.1702451431628531,-0.202831136
r_0302,1000.0,-999.5349002710466,0.0
r_0892,-24.977637619667874,-24.976054019741284,0.57937889
r_0893,-23.689907996411865,-23.688824949033492,-24.32420855
r_0889,0.9372385379761496,0.9324877380527213,-24.32420855
r_1049,-0.3060261702463908,-0.3044425703563949,1.391673917
r_1048,0.3060261702463908,-12.088099288821617,-0.457097918
r_1050,0.1853686728353779,0.18378507294542334,0.457097918
r_0466,0.9372385378712452,0.9324877380751743,1.391673917
r_0467,12.273331636250392,12.268580836204375,12.50177364
r_0886,12.39254185922885,0.0,13.32377351
r_0959,20.968232639802522,20.966419764402644,21.69295608
r_2115,1000.0,0.0,20.85048922
r_2116,0.0006885216306499187,0.0,0.84246686
r_0112,0.1104945111349061,0.10929891574852549,0.45427588
r_2034,1.2420257011567686,0.0,1.322731904
r_1239,0.001218153807993505,0.0,1.027802689
r_4041,0.4565172054900837,0.4565172054900837,0.33
