,SER33_real_flux,SER33_sim_flux
r_0534,14.5,14.5
r_0962,-24.28635968,-23.44830171849795
r_0961,21.69322669,0.7873593411346738
r_0718,0.0,0.0
r_2131,0.57937889,0.3439437183232631
r_0713,0.0,0.46509973378002467
r_0300,-0.57937889,-0.46509973378002467
r_1022,-0.262030654,-0.0
r_0454,0.0,-0.0
r_0366,24.32420855,23.689616715824332
r_1054,-13.32377351,-12.38676197267133
r_0486,24.32420855,24.97605397360143
r_0450,13.32377351,12.084932055178797
r_0452,-0.202831136,-0.17146329898944762
r_0302,0.0,0.3439437183232631
r_0892,0.57937889,-24.97605397360143
r_0893,-24.32420855,-23.689616715824332
r_0889,-24.32420855,0.9372385607793055
r_1049,1.391673917,-0.306026177822014
r_1048,-0.457097918,0.0
r_1050,0.457097918,0.18536867915882194
r_0466,1.391673917,0.9372385607793055
r_0467,12.50177364,12.268580799946065
r_0886,13.32377351,12.084932055178797
r_0959,21.69295608,20.967944651096012
r_2115,20.85048922,20.884195093402646
r_2116,0.84246686,0.0
r_0112,0.45427588,0.10990799383941696
r_2034,1.322731904,1.2420257141899547
r_1239,1.027802689,0.0
r_4041,0.33,0.45651721022774305
