,SFC1_real_flux,SFC1_sim_flux
r_0534,12.9,12.9
r_0962,-22.16605619,-20.39926057735102
r_0961,19.0396632,0.7375502422321254
r_0718,0.108117337,0.0
r_2131,0.971053857,0.27488880507305735
r_0713,0.113122769,0.4356770833723773
r_0300,-0.971053857,-0.4356770833723773
r_1022,-0.632686637,-0.0
r_0454,0.222241192,-2.483740939808107
r_0366,22.36226913,20.625309759006534
r_1054,-11.92293962,-10.970549492884402
r_0486,22.36226913,22.08071469455956
r_0450,11.92293962,10.737915700060455
r_0452,-0.209227068,-0.11331966070201815
r_0302,0.0,0.4356770833724357
r_0892,0.971053857,-22.080714694559557
r_0893,-22.36226913,-20.625309759006534
r_0889,-22.36226913,0.7276417270398376
r_1049,0.651707279,-0.23656459374391495
r_1048,-0.210228155,0.0
r_1050,0.210228155,0.12354000291615755
r_0466,0.651707279,0.7276417270398376
r_0467,11.60058979,10.960048728739165
r_0886,11.92293962,10.737915700060455
r_0959,19.03909393,18.075813251193562
r_2115,17.95552145,17.99736176997463
r_2116,1.083572478,0.0
r_0112,0.482942946,0.10295510987738811
r_2034,1.653449722,0.0
r_1239,1.27052431,0.0
r_4041,0.339,0.42763749840241166
