,SFC1_real_flux,SFC1_sim_flux
r_0534,12.9,13.892195305288341
r_0962,-22.16605619,-21.0245391542082
r_0961,19.0396632,0.7304460123425289
r_0718,0.108117337,0.14204381670573962
r_2131,0.971053857,0.3358343176543222
r_0713,0.113122769,0.4793211096907213
r_0300,-0.971053857,-0.4793211096907213
r_1022,-0.632686637,-1.5550127225598449e-06
r_0454,0.222241192,-0.0
r_0366,22.36226913,21.20758447158203
r_1054,-11.92293962,-11.308839994092834
r_0486,22.36226913,22.742730789765222
r_0450,11.92293962,13.893046457966756
r_0452,-0.209227068,-0.23530664027147247
r_0302,0.0,0.3358343176543222
r_0892,0.971053857,-22.742730789765222
r_0893,-22.36226913,-21.20758447158203
r_0889,-22.36226913,0.640495738752179
r_1049,0.651707279,-0.20306251056197633
r_1048,-0.210228155,2.7835924685706326
r_1050,0.210228155,0.11153985187506085
r_0466,0.651707279,0.640495738752179
r_0467,11.60058979,11.277825921817113
r_0886,11.92293962,13.893046457966756
r_0959,19.03909393,18.657761598303633
r_2115,17.95552145,18.624333528682087
r_2116,1.083572478,0.0
r_0112,0.482942946,0.1301656000795307
r_2034,1.653449722,0.9838638087682716
r_1239,1.27052431,0.0
r_4041,0.339,0.34628323377569203
