,SFC1_real_flux,SFC1_sim_flux
r_0534,12.9,12.9
r_0962,-22.16605619,-20.399622644744177
r_0961,19.0396632,0.7375428667297725
r_0718,0.108117337,0.0
r_2131,0.971053857,0.27488605618502987
r_0713,0.113122769,0.4356727266015796
r_0300,-0.971053857,-0.4356727266015796
r_1022,-0.632686637,-0.0
r_0454,0.222241192,-0.0
r_0366,22.36226913,20.625669565907895
r_1054,-11.92293962,-10.969913567391457
r_0486,22.36226913,22.08009666741456
r_0450,11.92293962,10.736626880907455
r_0452,-0.209227068,-0.11331852750511408
r_0302,0.0,0.27488605618502987
r_0892,0.971053857,-22.08009666741456
r_0893,-22.36226913,-20.625669565907895
r_0889,-22.36226913,0.7296001106164125
r_1049,0.651707279,-0.23721744809596235
r_1048,-0.210228155,0.0
r_1050,0.210228155,0.12419398751410338
r_0466,0.651707279,0.7296001106164125
r_0467,11.60058979,10.958102468257934
r_0886,11.92293962,10.736626880907455
r_0959,19.03909393,18.07619855305978
r_2115,17.95552145,17.997747856355655
r_2116,1.083572478,0.0
r_0112,0.482942946,0.1029540803262978
r_2034,1.653449722,1.1161473500152954
r_1239,1.27052431,0.0
r_4041,0.339,0.4276332220274631
