,SOL3_real_flux,SOL3_sim_flux
r_0534,12.2,12.2
r_0962,-21.93422092,-18.464614496861753
r_0961,17.1263185,0.7657489153090661
r_0718,0.599415908,0.0
r_2131,1.687167153,0.33450359381505734
r_0713,0.512437725,13.456464555969836
r_0300,-1.687167153,-0.45233427489325884
r_1022,-1.310960316,-0.0
r_0454,1.111853633,-0.0
r_0366,21.10426044,18.699306190725686
r_1054,-11.14159079,-10.252592082511988
r_0486,21.10426044,20.594326737426336
r_0450,11.14159079,0.0
r_0452,-0.219017351,-0.16675719504020314
r_0302,0.0,0.45233427489325884
r_0892,1.687167153,-20.594326737426336
r_0893,-21.10426044,-18.699306190725686
r_0889,-21.10426044,0.588028426114291
r_1049,0.640285174,-0.18979809285697868
r_1048,-0.205394262,-10.06687507643176
r_1050,0.205394262,0.07245224592501184
r_0466,0.640285174,0.588028426114291
r_0467,10.83769112,10.353311939124325
r_0886,11.14159079,0.0
r_0959,17.12616286,16.052335077905422
r_2115,15.96430348,0.0
r_2116,1.161859377,0.0
r_0112,0.533105091,0.10689138068145776
r_2034,1.965874193,0.0
r_1239,1.677203585,0.0
r_4041,0.3557,0.4439873134013128
