,SOL3_real_flux,SOL3_sim_flux
r_0534,12.2,12.2
r_0962,-21.93422092,-18.464990210716213
r_0961,17.1263185,0.7657412578199043
r_0718,0.599415908,0.0
r_2131,1.687167153,0.3345002487791084
r_0713,0.512437725,0.45232975155049426
r_0300,-1.687167153,-0.45232975155049426
r_1022,-1.310960316,-0.0
r_0454,1.111853633,-0.0
r_0366,21.10426044,18.699679557663202
r_1054,-11.14159079,-10.251932236592081
r_0486,21.10426044,20.593685474159834
r_0450,11.14159079,10.06553776768288
r_0452,-0.219017351,-0.16675552746846223
r_0302,0.0,0.3345002487791084
r_0892,1.687167153,-20.593685474159834
r_0893,-21.10426044,-18.699679557663202
r_0889,-21.10426044,0.5900605058272358
r_1049,0.640285174,-0.19047551487508338
r_1048,-0.205394262,0.0
r_1050,0.205394262,0.07313084140158851
r_0466,0.640285174,0.5900605058272358
r_0467,10.83769112,10.35129244600777
r_0886,11.14159079,10.06553776768288
r_0959,17.12616286,16.052734914554126
r_2115,15.96430348,15.97128482143964
r_2116,1.161859377,0.0
r_0112,0.533105091,0.10689031176764756
r_2034,1.965874193,1.20792411159786
r_1239,1.677203585,0.0
r_4041,0.3557,0.4439828735281647
