,TAL1_real_flux,TAL1_sim_flux
r_0534,12.2,13.594667634082043
r_0962,-21.80317018,-19.922801458093097
r_0961,17.58916565,0.854328797661945
r_0718,0.126441387,0.10334901008970303
r_2131,0.933966208,0.39473946121276343
r_0713,0.103065668,0.4852701374338991
r_0300,-0.933966208,-0.4852701374338991
r_1022,-0.548266852,-1.9842328068035494e-06
r_0454,0.229507055,-0.0
r_0366,21.05727225,19.990321931894194
r_1054,-11.1491552,-10.717676946881408
r_0486,21.05727225,21.673605177794514
r_0450,11.1491552,10.419343150801282
r_0452,-0.222069326,-0.2619342484576546
r_0302,0.0,0.39473946121276343
r_0892,0.933966208,-21.673605177794514
r_0893,-21.05727225,-19.990321931894194
r_0889,-21.05727225,0.9401273916392482
r_1049,0.532328863,-0.30280833386268824
r_1048,-0.170005226,0.0
r_1050,0.170005226,0.22546603370897422
r_0466,0.532328863,0.9401273916392482
r_0467,10.92177321,10.43029377103285
r_0886,11.1491552,13.893046457966756
r_0959,17.5892597,17.44984644633502
r_2115,16.29614041,17.398133424078946
r_2116,1.293119298,0.0
r_0112,0.549321711,0.1301656000795307
r_2034,1.711186328,1.2642516878206067
r_1239,0.831882956,0.0
r_4041,0.361,0.29263072324522893
