,TAL1_real_flux,TAL1_sim_flux
r_0534,12.2,12.2
r_0962,-21.80317018,-18.732851857188564
r_0961,17.58916565,0.7438547046423536
r_0718,0.126441387,0.0
r_2131,0.933966208,0.3249395030206123
r_0713,0.103065668,0.4394011819324976
r_0300,-0.933966208,-0.4394011819324976
r_1022,-0.548266852,-0.0
r_0454,0.229507055,-0.0
r_0366,21.05727225,18.960833271371442
r_1054,-11.1491552,-10.287967029120557
r_0486,21.05727225,20.682833007013635
r_0450,11.1491552,10.087254892495908
r_0452,-0.222069326,-0.1619892912466171
r_0302,0.0,0.3249395030206123
r_0892,0.933966208,-20.682833007013635
r_0893,-21.05727225,-18.960833271371442
r_0889,-21.05727225,0.6321309742211314
r_1049,0.532328863,-0.20467653740700462
r_1048,-0.170005226,0.0
r_1050,0.170005226,0.09068583031556385
r_0466,0.532328863,0.6321309742211314
r_0467,10.92177321,10.34519685198574
r_0886,11.1491552,10.087254892495908
r_0959,17.5892597,16.389544072053358
r_2115,16.29614041,16.310422000024406
r_2116,1.293119298,0.0
r_0112,0.549321711,0.10383515381608675
r_2034,1.711186328,1.1733990092141335
r_1239,0.831882956,0.0
r_4041,0.361,0.4312928758662127
