,ZWF1_real_flux,ZWF1_sim_flux
r_0534,6.5,6.5
r_0962,-11.19372211,-7.52574789885265
r_0961,6.330973996,0.5974098106430787
r_0718,1.060163102,0.0
r_2131,3.730573934,0.26096769403822934
r_0713,2.351361748,0.35289496087929545
r_0300,-3.800584705,-0.35289496087929545
r_1022,-3.571549469,-0.0
r_0454,3.521541776,-0.0
r_0366,11.26373288,7.7088459321475025
r_1054,-6.11494076,-5.133621816828646
r_0486,11.26373288,10.183869912858768
r_0450,6.11494076,5.136805734206488
r_0452,-0.209032159,-0.1300979764001795
r_0302,0.0,0.2829980768809711
r_0892,3.730573934,-10.18386991285876
r_0893,-11.26373288,-7.7088459321475025
r_0889,-11.26373288,0.0
r_1049,0.079012156,0.004845897627273041
r_1048,-0.023003539,-0.004845897627273041
r_1050,0.023003539,-0.09639491427469911
r_0466,0.079012156,0.0
r_0467,6.11494076,5.518038943269813
r_0886,6.11494076,5.136805734206488
r_0959,6.33120703,5.643774105503885
r_2115,5.602576212,2.2470467933729648
r_2116,0.728630818,0.0
r_0112,0.228521569,0.08339281743091094
r_2034,3.113727501,0.0
r_1239,1.862792455,0.0
r_4041,0.16,0.34638296120857387
