,ZWF1_real_flux,ZWF1_sim_flux
r_0534,6.5,6.5
r_0962,-11.19372211,-7.525780917027598
r_0961,6.330973996,0.5974066139701572
r_0718,1.060163102,0.0
r_2131,3.730573934,0.26096508715227784
r_0713,2.351361748,0.3528942067398234
r_0300,-3.800584705,-0.3528942067398234
r_1022,-3.571549469,-0.0
r_0454,3.521541776,-0.0
r_0366,11.26373288,7.708877121300312
r_1054,-6.11494076,-5.1336354659973225
r_0486,11.26373288,10.183898044041623
r_0450,6.11494076,5.1368193515700415
r_0452,-0.209032159,-0.1300966768119134
r_0302,0.0,0.2817269577940843
r_0892,3.730573934,-10.183898044041623
r_0893,-11.26373288,-7.708877121300312
r_0889,-11.26373288,0.0
r_1049,0.079012156,0.004845849220154089
r_1048,-0.023003539,-0.004845849220154089
r_1050,0.023003539,-0.09639395135650985
r_0466,0.079012156,0.0
r_0467,6.11494076,5.518048752378539
r_0886,6.11494076,5.1368193515700415
r_0959,6.33120703,5.643823152253475
r_2115,5.602576212,5.580278713270953
r_2116,0.728630818,0.0012927289684804277
r_0112,0.228521569,0.08339198439460307
r_2034,3.113727501,0.9970274154061383
r_1239,1.862792455,0.0
r_4041,0.16,0.34637950108344573
