,ethanol exp flux,maximum,minimum
r_2131,0.3,0.18310524994317937,0.0
r_0713,1.85,1000.0,2.753401519178734
r_0300,-0.3,-2.7558006159822668,-2.754490220427309
r_1022,-0.1,-0.0008996611894946938,-0.0
r_0454,2.15,-12.882822175324753,-0.0
r_1054,-0.55,0.6680036020061186,0.6682649422131719
r_0486,1.25,-1.376800639960088,-1.3770619801698416
r_0450,0.55,0.00044983065767256747,-0.6669280433059414
r_0452,-2.15,-2.3573571672901608,-2.354525166923949
r_0302,2.4,1000.0,-996.0764094135491
r_0892,-1.25,1.3768006399775499,1.3770619801692021
r_0893,-1.25,1.3768006399775499,1.3774981795884067
r_1049,-0.05,0.0022492490673527987,0.0023873788891229895
r_1048,0.05,0.6645588394235468,-0.002819034560118349
r_1050,-0.05,-0.04700840520280843,-0.04714653502458006
r_0467,0.4,-0.4800897908751578,-0.480449655395321
r_0886,0.55,0.0004498305108895373,0.0
r_2115,-5.0,995.0000499811705,0.0
r_2116,5.0,0.0017993221808518811,0.0
r_0112,5.0,4.720788919653434,4.718923088522453
r_0716,-4.15,2.0950516360147,2.093852087638368
r_0662,2.1,2.2937510702129202,2.291941262821597
r_0366,1.25,-1.3768006399492052,-1.377498179587995
r_0832,0.1,0.2900527774837145,0.2889161798015323
r_0718,0.4,0.2961321364055831,0.1109876543126169
r_0884,1.35,1.4682160400535054,1.4663189522284672
r_1239,-1.55,0.001799322393891023,0.0
