,galactose exp flux,Sim Flux
r_0458,1.5,1.5
r_0962,-2.355,-1.9357885189941366
r_0961,0.135,0.12147610250389664
r_2131,0.12,0.053064643041380116
r_0713,0.015,0.16474163989148374
r_0300,-0.12,-0.07175694753779906
r_1022,-0.045,-0.0
r_0454,0.045,-0.0
r_1054,-1.26,-1.2155970298413914
r_0486,2.4,2.4208074101290746
r_0450,1.26,1.2106634019906266
r_0452,-0.045,-0.026453859369580807
r_0302,0.12,0.053064643041380116
r_0892,-2.4,-2.4208074101290746
r_0893,-2.4,-1.9730193027284129
r_0889,0.165,0.019699182575557053
r_1049,-0.06,-0.0055810391702043605
r_1048,0.06,0.0
r_1050,-0.03,-0.013034352696933739
r_0466,0.165,0.019699182575557053
r_0467,1.17,1.280630842380365
r_0886,1.26,1.2106634019906266
r_0959,1.86,1.5531117745590384
r_2115,1.545,1.5401906477958072
r_2116,0.315,0.0
r_0112,0.105,0.016956926816152285
r_0958,0.21,0.1612277469658185
r_0366,2.4,1.9730193027284129
r_0832,0.045,0.0
r_0091,0.165,0.019699182575557053
r_0718,0.03,0.0
r_2034,0.27,0.19113471574541954
r_1239,0.105,0.0
