,galactose exp flux,Sim Flux
r_0458,1.5,1.5
r_0962,-2.355,-1.9358481211090304
r_0961,0.135,0.1214748877428711
r_2131,0.12,0.05306411239494975
r_0713,0.015,0.07175622996832373
r_0300,-0.12,-0.07175622996832373
r_1022,-0.045,-0.0
r_0454,0.045,-0.0
r_1054,-1.26,-1.2154923538709497
r_0486,2.4,2.420705682054835
r_0450,1.26,1.2104512553563156
r_0452,-0.045,-0.02645359483097723
r_0302,0.12,0.05306411239494975
r_0892,-2.4,-2.420705682054835
r_0893,-2.4,-1.9730785325354692
r_0889,0.165,0.02002154558417024
r_1049,-0.06,-0.005688503359960615
r_1048,0.06,0.0
r_1050,-0.03,-0.012926702353258782
r_0466,0.165,0.02002154558417024
r_0467,1.17,1.2803104760715023
r_0886,1.26,1.2104512553563156
r_0959,1.86,1.5531752034413768
r_2115,1.545,1.5402542058894133
r_2116,0.315,0.0
r_0112,0.105,0.016956757246884016
r_0958,0.21,0.16073749468767737
r_0366,2.4,1.9730785325354692
r_0832,0.045,0.0
r_0091,0.165,0.02002154558417024
r_0718,0.03,0.0
r_2034,0.27,0.19162144439893317
r_1239,0.105,0.0
