,glucose exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.565,-2.3937639411006453
r_0961,0.09,0.08405677022937624
r_2131,0.09,0.03671868306188114
r_0300,-0.09,-0.049653035677142326
r_1022,-0.045,-0.0
r_1054,-1.365,-1.277172696377064
r_0486,2.58,2.573189667456877
r_0450,1.365,1.2477273815430119
r_0302,0.09,0.03671868306188114
r_0892,-2.58,-2.573189667456877
r_0893,-2.58,-2.419526205194616
r_0889,0.165,0.09172537820168143
r_1049,-0.045,-0.02989329845717075
r_1048,0.045,0.0
r_1050,-0.045,0.01701216641018534
r_0466,0.165,0.09172537820168143
r_0467,1.275,1.2701107124528819
r_0886,1.365,1.2477273815430119
r_0959,2.235,2.1289664170108766
r_2115,2.115,2.1200254964425143
r_2116,0.12,0.0
r_0112,0.045,0.011733538299320563
r_0958,0.135,0.11156337256433704
r_0366,2.58,2.419526205194616
r_0832,0.045,0.0
r_0091,0.165,0.09172537820168143
r_2034,0.18,0.13225783963355692
r_1239,0.075,0.0
