,glycerol exp flux,Sim Flux
r_0164,2.5,0.0
r_0962,-1.6,-2.11962892243083
r_0961,0.775,0.07576735757628103
r_2131,0.725,0.03309725130324599
r_0713,0.525,0.04475641044298784
r_0300,-0.725,-0.04475641044298784
r_1022,-0.575,-0.0
r_0454,0.575,-1.4926034124746943
r_1054,-0.525,-2.3267174617569255
r_0486,1.525,2.142850593573511
r_0450,0.525,-0.17288907135813097
r_0452,-0.575,0.9216262088259648
r_0302,0.725,1000.0
r_0892,-1.525,-2.142850593573511
r_0893,-1.525,-2.142850593573511
r_0889,0.375,0.0
r_1049,-0.125,0.0006145879290320507
r_1048,0.125,-0.0006145879290320507
r_1050,-0.05,-0.012225423500372534
r_0466,0.375,0.0
r_0467,0.7,-0.1245386218736025
r_0886,0.525,0.0
r_0959,0.375,0.8804059336502699
r_2115,0.175,998.684030613173
r_2116,0.2,0.0
r_0112,0.075,0.01059652292216062
r_0958,0.375,1.1049081382683714
r_0366,1.525,2.142850593573511
r_0832,0.575,0.0
r_0091,0.375,0.0
r_0718,0.075,0.0
r_0884,0.1,0.0
r_2034,0.825,0.12644999472594246
r_1239,0.2,0.0
