,glycerol exp flux,maximum,minimum
r_0164,2.5,0.0,0.0
r_0962,-1.6,-2.1196764118725895,-2.119380212831373
r_0961,0.775,0.07579109655042489,0.07573573192767213
r_2131,0.725,0.040519148189227354,0.03300981249814825
r_0713,0.525,999.071651703757,0.044697715279814906
r_0300,-0.725,-0.04476761240263226,-0.044744587118876966
r_1022,-0.575,-4.3685702986570634e-05,-0.0
r_0454,0.575,-1.4926208177010587,-0.0
r_1054,-0.525,-2.32672768449391,-2.326466681367888
r_0486,1.525,2.1428647436795414,2.1426016517723245
r_0450,0.525,4.3685691154371487e-05,-0.17293146746746843
r_0452,-0.575,0.9212755540386297,0.9216897736418377
r_0302,0.725,1000.0,-997.8738413293521
r_0892,-1.525,-2.142864743675631,-2.1426019027904935
r_0893,-1.525,-2.142864743675631,-2.1426019027904935
r_0889,0.375,1.8076834096825145e-05,0.0
r_1049,-0.125,0.0006085561669762762,0.0006166252242759459
r_1048,0.125,0.1723164463988995,-0.000658311406644818
r_1050,-0.05,-0.012219275630017264,-0.012230836643047919
r_0466,0.375,1.807683389756093e-05,0.0
r_0467,0.7,-0.12453737648732245,-0.12455545332849544
r_0886,0.525,4.3685677603877426e-05,0.0
r_0959,0.375,0.8807006918231082,0.8798819370283846
r_2115,0.175,1000.0,0.0
r_2116,0.2,0.0001747426735445081,0.0
r_0112,0.075,0.010713078142992077,0.010543258766848619
r_0958,0.375,1.1050848611170123,1.1046755130026895
r_0366,1.525,2.1428647436570603,2.142599643540442
r_0832,0.575,7.658630869676608e-06,0.0
r_0091,0.375,1.8076822130286274e-05,0.0
r_0718,0.075,0.007247133904289438,0.0
r_0884,0.1,4.368567679750386e-05,0.0
r_2034,0.825,0.1267985671883041,0.0
r_1239,0.2,5.824755816793287e-05,0.0
