,glycerol exp flux,Sim Flux
r_0164,2.5,0.0
r_0962,-1.6,-2.119380583284129
r_0961,0.775,0.07576659990270526
r_2131,0.725,0.03309692033073298
r_0713,0.525,0.04475596287888342
r_0300,-0.725,-0.04475596287888342
r_1022,-0.575,-0.0
r_0454,0.575,-0.0
r_1054,-0.525,-2.3264670517248285
r_0486,1.525,2.1426020222100988
r_0450,0.525,-0.17288734246741527
r_0452,-0.575,0.9215291354208426
r_0302,0.725,0.044755962878883615
r_0892,-1.525,-2.1426020222100988
r_0893,-1.525,-2.1426020222100988
r_0889,0.375,0.0
r_1049,-0.125,0.0006145817831517148
r_1048,0.125,-0.0006145817831517148
r_1050,-0.05,-0.012225301246136484
r_0466,0.375,0.0
r_0467,0.7,-0.12453737648738376
r_0886,0.525,0.0
r_0959,0.375,0.8802835581621962
r_2115,0.175,0.17702572225767965
r_2116,0.2,0.0
r_0112,0.075,0.010596416956931361
r_0958,0.375,1.1047578034725012
r_0366,1.525,2.1426020222100988
r_0832,0.575,0.0
r_0091,0.375,0.0
r_0718,0.075,0.0
r_0884,0.1,0.0
r_2034,0.825,0.12644873022599518
r_1239,0.2,0.0
