,batch exp flux,Sim Flux
r_0534,15.9,15.9
r_0962,-28.3974,-27.563141308336455
r_0961,0.0159,0.7103352245174965
r_2131,0.3975,0.21750473822919375
r_0713,0.0,0.4196009452831899
r_0300,-0.3975,-0.4196009452831899
r_1022,0.0,-0.0
r_0454,0.0,-0.0
r_1054,-14.469,-13.858273312918797
r_0486,28.6041,28.034481996045955
r_0450,14.469,13.450752152044924
r_0452,0.0,-0.15468975170680765
r_0302,0.3975,0.21750473822919375
r_0892,-28.6041,-28.034481996045955
r_0893,-28.6041,-27.780849454858533
r_0889,2.5758,1.2512064359656982
r_1049,-0.7473,-0.4113069183641953
r_1048,1.59,0.0
r_1050,-1.59,0.3024528451031557
r_0466,2.5758,1.2512064359656982
r_0467,12.879,13.481217278420525
r_0886,14.469,13.450752152044924
r_0959,26.9187,25.325427341779037
r_2115,25.2333,25.249870657861848
r_2116,1.6854,0.0
r_0112,1.1607,0.09915614815425872
r_0958,1.4151,1.035576566081435
r_0366,28.6041,27.780849454858533
r_0832,0.0,0.0
r_0091,2.5758,1.2512064359656982
r_0718,0.636,0.0
r_1239,1.3515,0.0
r_4041,0.37,0.4118580146085495
