,batch exp flux,Sim Flux
r_0534,15.9,15.9
r_0962,-28.3974,-27.563176943590044
r_0961,0.0159,0.710328121165247
r_2131,0.3975,0.21754296318182503
r_0713,0.0,0.41959674927373736
r_0300,-0.3975,-0.41959674927373736
r_1022,0.0,-0.0
r_0454,0.0,-0.0
r_1054,-14.469,-13.858286996852337
r_0486,28.6041,28.03451291789267
r_0450,14.469,13.450763177856738
r_0452,0.0,-0.15468490997812162
r_0302,0.3975,0.21754296318182503
r_0892,-28.6041,-28.03451291789267
r_0893,-28.6041,-27.78088291303066
r_0889,2.5758,1.2512141239013423
r_1049,-0.7473,-0.4113095386283472
r_1048,1.59,0.0
r_1050,-1.59,0.3024565539080404
r_0466,2.5758,1.2512141239013423
r_0467,12.879,13.481221266247738
r_0886,14.469,13.450763177856738
r_0959,26.9187,25.325485354172297
r_2115,25.2333,25.249929425821946
r_2116,1.6854,0.0
r_0112,1.1607,0.0991551565927773
r_0958,1.4151,1.0355258103157605
r_0366,28.6041,27.78088291303066
r_0832,0.0,0.0
r_0091,2.5758,1.2512141239013423
r_0718,0.636,0.0
r_1239,1.3515,0.0
r_4041,0.37,0.41185389602840344
