,chemostat exp flux,Sim Flux
r_0534,1.17,1.17
r_0962,-1.4286,-0.6223063318391753
r_0961,0.4668,0.19114546668521548
r_2131,0.7008,0.08349806012486387
r_0713,-0.5745,0.11291158527609516
r_0300,-0.7008,-0.11291158527609516
r_1022,-0.5745,-0.0
r_0454,0.5745,-0.0
r_1054,-0.7055,-0.7274126967077489
r_0486,1.4871,1.4335565397610652
r_0450,0.7055,0.7284749335633837
r_0452,-0.5745,-0.04162556861917238
r_0302,0.7008,0.11291158527609516
r_0892,-1.4871,-1.4335565397610652
r_0893,-1.4871,-0.6808895624154409
r_0889,0.5171,0.016090516714379
r_1049,-0.1416,-0.0038130337671568627
r_1048,0.3124,0.0038130337671568627
r_1050,-0.3124,-0.025478581520975888
r_0466,0.5171,0.016090516714379
r_0467,0.3931,0.8397256006510104
r_0886,0.7055,0.7284749335633837
r_0959,0.5277,0.020157499172262353
r_2115,0.0,0.0
r_2116,0.5359,0.0
r_0112,0.5347,0.026507894768213948
r_0958,0.3194,0.23544119378777617
r_0366,1.4871,0.6808895624154409
r_0832,0.5745,8.866171861712524e-07
r_0091,0.5171,0.016090516714379
r_0718,0.0784,0.0
r_1239,1.8568,0.0
r_4041,0.1,0.11082714827140655
