,chemostat exp flux,maximum,minimum
r_0534,1.17,1.170199112788183,1.1699883000000066
r_0962,-1.4286,-0.6228476661122677,-0.6221107115824442
r_0961,0.4668,0.19169111398991845,0.19091800754847335
r_2131,0.7008,0.08486612567471374,0.08258462478265988
r_0713,-0.5745,1000.0,0.11241259328431438
r_0300,-0.7008,-0.11345801582388576,-0.1128373799671498
r_1022,-0.5745,-0.0005475604489315611,-0.0
r_0454,0.5745,-4.527921623910254,-0.0
r_1054,-0.7055,-0.7285169274828771,-0.7271480262667189
r_0486,1.4871,1.4346654098381157,1.4332965097593728
r_0450,0.7055,0.7295791534832856,-0.0002737799998678847
r_0452,-0.5745,-0.04201626657072666,-0.04112737037691738
r_0302,0.7008,1000.0,-999.8870904309051
r_0892,-1.4871,-1.434665410507455,-1.4332965097601358
r_0893,-1.4871,-0.6814303108775425,-0.680693356090276
r_0889,0.5171,0.016897650834176325,0.01279094990752394
r_1049,-0.1416,-0.004082094067882328,-0.002713193719753648
r_1048,0.3124,0.0040820938764594555,-0.7268659587831967
r_1050,-0.3124,-0.025209228185497444,-0.02657812853362617
r_0466,0.5171,0.016897649994334518,0.012790950063014258
r_0467,0.3931,0.8430283103654285,0.838921610416154
r_0886,0.7055,0.7295791529206508,0.0
r_0959,0.5277,0.0203823219878768,0.01999594470133198
r_2115,0.0,1000.0,0.0
r_2116,0.5359,0.0006084003856564428,0.0
r_0112,0.5347,0.02687266961676344,0.02645036274479637
r_0958,0.3194,0.24091444224228956,0.23531715842045836
r_0366,1.4871,0.6814303108204939,0.68069335608921
r_0832,0.5745,0.0005484460527696022,0.0
r_0091,0.5171,0.016897650088054106,0.012790950064143103
r_0718,0.0784,0.0013689005040435909,0.0
r_1239,1.8568,0.000497781524996594,0.0
r_4041,0.1,0.1108260395512896,0.1108260395512896
