,chemostat exp flux,Sim Flux
r_0534,1.17,1.17
r_0962,-1.4286,-0.6223164707293987
r_0961,0.4668,0.19121718402148674
r_2131,0.7008,0.08349722514426264
r_0713,-0.5745,0.1129104561602424
r_0300,-0.7008,-0.1129104561602424
r_1022,-0.5745,-0.0
r_0454,0.5745,-0.0
r_1054,-0.7055,-0.7273069400621859
r_0486,1.4871,1.4334554216770252
r_0450,0.7055,0.7244459881400827
r_0452,-0.5745,-0.04162515236357797
r_0302,0.7008,0.08349722514426264
r_0892,-1.4871,-1.4334554216770252
r_0893,-1.4871,-0.6808991154733584
r_0889,0.5171,0.0164209033649082
r_1049,-0.1416,-0.003923178155369356
r_1048,0.3124,0.0
r_1050,-0.3124,-0.025368144216610513
r_0466,0.5171,0.0164209033649082
r_0467,0.3931,0.8393983558393076
r_0886,0.7055,0.7244459881400827
r_0959,0.5277,0.02010003075987431
r_2115,0.0,0.0
r_2116,0.5359,0.0005088647784437672
r_0112,0.5347,0.026450362851869948
r_0958,0.3194,0.2354388393758382
r_0366,1.4871,0.6808991154733584
r_0832,0.5745,8.866083199993907e-07
r_0091,0.5171,0.0164209033649082
r_0718,0.0784,0.0
r_1239,1.8568,0.0
r_4041,0.1,0.11082603999992384
