r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase
r_0003	(R,R)-butanediol dehydrogenase
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase
r_0005	1,3-beta-glucan synthase
r_0006	1,6-beta-glucan synthase
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
r_0012	1-pyrroline-5-carboxylate dehydrogenase
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)
r_0016	2-aceto-2-hydroxybutanoate synthase
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
r_0018	2-aminoadipate transaminase
r_0019	2-dehydropantoate 2-reductase
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase
r_0023	2-isopropylmalate hydratase
r_0024	2-isopropylmalate synthase
r_0025	2-isopropylmalate synthase
r_0026	2-keto-4-methylthiobutyrate transamination
r_0027	2-methylcitrate dehydratase
r_0028	2-methylcitrate synthase
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation
r_0032	3',5'-bisphosphate nucleotidase
r_0033	3',5'-cyclic-nucleotide phosphodiesterase
r_0034	3',5'-cyclic-nucleotide phosphodiesterase
r_0035	3',5'-cyclic-nucleotide phosphodiesterase
r_0036	3',5'-cyclic-nucleotide phosphodiesterase
r_0037	3',5'-cyclic-nucleotide phosphodiesterase
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase
r_0039	3-dehydroquinate dehydratase
r_0040	3-dehydroquinate synthase
r_0041	3-dehydrosphinganine reductase
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase
r_0045	3-hydroxy-L-kynurenine hydrolase
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)
r_0058	3-hydroxyanthranilate 3,4-dioxygenase
r_0059	3-isopropylmalate 3-methyltransferase
r_0060	3-isopropylmalate dehydratase
r_0061	3-isopropylmalate dehydrogenase
r_0062	3-methyl-2-oxobutanoate decarboxylase
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase
r_0064	3-methyl-2-oxopentanoate decarboxylase
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase
r_0066	4-amino-4-deoxychorismate synthase
r_0067	4-aminobenzoate synthase
r_0068	4-aminobutyrate transaminase
r_0069	4-hydroxy-L-threonine synthase
r_0070	4-hydroxybenzoate formation
r_0072	4-methyl-2-oxopentanoate decarboxylase
r_0073	4PP-IP5 depyrophosphorylation to IP6
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4
r_0075	5'-methylthioadenosine phosphorylase
r_0076	5'-nucleotidase (CMP)
r_0077	5'-nucleotidase (IMP)
r_0078	5'-nucleotidase (UMP)
r_0079	5'-phosphoribosylformyl glycinamidine synthetase
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)
r_0081	5-aminolevulinate synthase
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase
