"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YHR208W" "MATCH" "1" "BAT1" "S. cerevisiae" "Branched-chain Amino acid Transaminase" "1182" "YHR208W" "S000001251" "ORF"
"YDR302W" "MATCH" "1" "GPI11" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "660" "YDR302W" "S000002710" "ORF"
"YCL009C" "MATCH" "1" "ILV6" "S. cerevisiae" "IsoLeucine Valine" "930" "YCL009C" "S000000515" "ORF"
"YJL005W" "MATCH" "1" "CYR1" "S. cerevisiae" "CYclic AMP Requirement" "6081" "YJL005W" "S000003542" "ORF"
"YGR247W" "MATCH" "1" "CPD1" "S. cerevisiae" "Cyclic nucleotide PhosphoDiesterase" "720" "YGR247W" "S000003479" "ORF"
"YLR308W" "MATCH" "1" "CDA2" "S. cerevisiae" "Chitin DeAcetylase" "939" "YLR308W" "S000004299" "ORF"
"YER060W" "MATCH" "1" "FCY21" "S. cerevisiae" "FluoroCYtosine resistance" "1587" "YER060W" "S000000862" "ORF"
"YML059C" "MATCH" "1" "NTE1" "S. cerevisiae" "Neuropathy Target Esterase" "5040" "YML059C" "S000004524" "ORF"
"YAL062W" "MATCH" "1" "GDH3" "S. cerevisiae" "Glutamate DeHydrogenase" "1374" "YAL062W" "S000000058" "ORF"
"YML120C" "MATCH" "1" "NDI1" "S. cerevisiae" "NADH Dehydrogenase Internal" "1542" "YML120C" "S000004589" "ORF"
"YNL129W" "MATCH" "1" "NRK1" "S. cerevisiae" "Nicotinamide Riboside Kinase" "723" "YNL129W" "S000005073" "ORF"
"YML035C" "MATCH" "1" "AMD1" "S. cerevisiae" "AMP Deaminase" "2433" "YML035C" "S000004498" "ORF"
"YER061C" "MATCH" "1" "CEM1" "S. cerevisiae" "Condensing Enzyme with Mitochondrial function" "1329" "YER061C" "S000000863" "ORF"
"YHR091C" "MATCH" "1" "MSR1" "S. cerevisiae" "Mitochondrial tRNA Synthetase aRginine" "1932" "YHR091C" "S000001133" "ORF"
"YJR010W" "MATCH" "1" "MET3" "S. cerevisiae" "METhionine requiring" "1536" "YJR010W" "S000003771" "ORF"
"YGR248W" "MATCH" "1" "SOL4" "S. cerevisiae" "Suppressor Of Los1-1" "768" "YGR248W" "S000003480" "ORF"
"YLL052C" "MATCH" "1" "AQY2" "S. cerevisiae" "AQuaporin from Yeast" "450" "YLL052C" "S000003975" "ORF"
"YNL104C" "MATCH" "1" "LEU4" "S. cerevisiae" "LEUcine biosynthesis" "1860" "YNL104C" "S000005048" "ORF"
"YJL139C" "MATCH" "1" "YUR1" "S. cerevisiae" "Yeast Unknown Reading frame" "1287" "YJL139C" "S000003675" "ORF"
"YIL020C" "MATCH" "1" "HIS6" "S. cerevisiae" "HIStidine requiring" "786" "YIL020C" "S000001282" "ORF"
"YNR001C" "MATCH" "1" "CIT1" "S. cerevisiae" "CITrate synthase" "1440" "YNR001C" "S000005284" "ORF"
"YCR024C-A" "MATCH" "1" "PMP1" "S. cerevisiae" "Plasma Membrane Proteolipid" "123" "YCR024C-A" "S000000619" "ORF"
"YDL093W" "MATCH" "1" "PMT5" "S. cerevisiae" "Protein O-MannosylTransferase" "2232" "YDL093W" "S000002251" "ORF"
"YLR081W" "MATCH" "1" "GAL2" "S. cerevisiae" "GALactose metabolism" "1725" "YLR081W" "S000004071" "ORF"
"YHR092C" "MATCH" "1" "HXT4" "S. cerevisiae" "HeXose Transporter" "1731" "YHR092C" "S000001134" "ORF"
"YBR298C" "MATCH" "1" "MAL31" "S. cerevisiae" "MALtose fermentation" "1845" "YBR298C" "S000000502" "ORF"
"YMR261C" "MATCH" "1" "TPS3" "S. cerevisiae" "Trehalose Phosphate Synthase" "3165" "YMR261C" "S000004874" "ORF"
"YFR047C" "MATCH" "1" "BNA6" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "888" "YFR047C" "S000001943" "ORF"
"Q0080" "MATCH" "1" "ATP8" "S. cerevisiae" "ATP synthase" "147" "Q0080" "S000007267" "ORF"
"Q0085" "MATCH" "1" "ATP6" "S. cerevisiae" "ATP synthase" "780" "Q0085" "S000007268" "ORF"
"YJR057W" "MATCH" "1" "CDC8" "S. cerevisiae" "Cell Division Cycle" "651" "YJR057W" "S000003818" "ORF"
